"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"25-34",55000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Research and Instruction Librarian"
"25-34",34000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Marketing Specialist"
"25-34",62000,"8 - 10 years","College degree","Woman","Nonprofits","Program Manager"
"25-34",60000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Accounting Manager"
"25-34",62000,"8 - 10 years","Master's degree","Man","Education (Higher Education)","Scholarly Publishing Librarian"
"25-34",33000,"2 - 4 years","College degree","Woman","Publishing","Publishing Assistant"
"25-34",50000,"5-7 years","Master's degree","Man","Education (Primary/Secondary)","Librarian"
"45-54",112000,"21 - 30 years","College degree","Woman","Computing or Tech","Systems Analyst"
"35-44",45000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Senior Accountant"
"25-34",47500,"5-7 years","College degree","Woman","Nonprofits","Office Manager"
"35-44",62000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity"
"35-44",1e+05,"11 - 20 years","College degree","Man","Accounting, Banking & Finance","Manager of Information Services"
"35-44",85000,"8 - 10 years","College degree","Woman","Business or Consulting","Executive Assistant"
"45-54",59000,"21 - 30 years","College degree","Woman","Art & Design","graphic designer"
"35-44",98000,"11 - 20 years","Master's degree","Woman","Business or Consulting","Senior Manager"
"35-44",54000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant Director of Academic Advising"
"25-34",74000,"5-7 years","Master's degree","Woman","Health care","Data Programmer Analyst"
"35-44",50000,"5-7 years","PhD","Woman","Nonprofits","Program Coordinator & Assistant Editor"
"35-44",96000,"8 - 10 years","PhD","Woman","Government and Public Administration","Researcher"
"35-44",60000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Communications Specialist"
"25-34",62000,"5-7 years","College degree","Man","Nonprofits","Program Director"
"35-44",48000,"11 - 20 years","College degree","Woman","Law","Bookkeeper/Billing Manager"
"35-44",140000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Economist"
"25-34",80000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Research Engineer"
"25-34",39000,"2 - 4 years","College degree","Woman","Nonprofits","Volunteer and Giving Coordinator"
"35-44",125000,"11 - 20 years","Master's degree","Woman","Media & Digital","Editor"
"25-34",230000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Financial Advisor"
"35-44",110000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Accounting Manager"
"25-34",50000,"5-7 years","College degree","Woman","Nonprofits","Administrative and HR Manager"
"35-44",68000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Senior IRB Analyst"
"18-24",41000,"2 - 4 years","College degree","Woman","Media & Digital","Reporter"
"25-34",76000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Senior Administrator"
"35-44",78000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Staff Services Manager II"
"25-34",37000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Receptionist"
"45-54",1e+05,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Lead Engineer"
"25-34",65000,"5-7 years","College degree","Man","Government and Public Administration","Manager of Data Integrity and Prospect Research"
"25-34",187500,"8 - 10 years","College degree","Woman","Computing or Tech","Principal Software Engineer"
"25-34",110000,"8 - 10 years","Master's degree","Man","Computing or Tech","Intelligence Analyst"
"25-34",66625,"8 - 10 years","College degree","Woman","Nonprofits","Project Manager"
"35-44",144600,"5-7 years","PhD","Woman","Computing or Tech","Mobile developer"
"35-44",200850,"11 - 20 years","College degree","Woman","Computing or Tech","Product Design Director"
"35-44",96000,"5-7 years","PhD","Woman","Education (Higher Education)","Research and Development Engineer 3"
"25-34",53000,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","Science Teacher (Public High School)"
"25-34",95000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Senior Manager, Programmatic"
"35-44",72000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Managed Services Sales Coordinator"
"35-44",106000,"21 - 30 years","Master's degree","Woman","Engineering or Manufacturing","Water Resources Engineer"
"25-34",115000,"5-7 years","PhD","Woman","Government and Public Administration","Program Officer"
"25-34",100500,"11 - 20 years","College degree","Woman","Business or Consulting","Account Supervisor"
"25-34",33200,"8 - 10 years","College degree","Woman","Law","Legal Secretary"
"25-34",52000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Coordinator"
"65 or over",104000,"41 years or more","College degree","Man","Property or Construction","Safety Director"
"18-24",52000,"2 - 4 years","College degree","Woman","Biotechnology","Downstream Process Development Research Associate I"
"25-34",84000,"5-7 years","Master's degree","Woman","Nonprofits","Manager, Natural Climate Solutions Development"
"35-44",53000,"21 - 30 years","Master's degree","Woman","Health care","AR Manager"
"25-34",34000,"5-7 years","College degree","Woman","Computing or Tech","Technical specialist"
"25-34",38000,"5-7 years","Master's degree","Woman","Nonprofits","Programming Coordinator"
"25-34",87000,"5-7 years","Master's degree","Man","Government and Public Administration","City Research Scientist II"
"35-44",122000,"11 - 20 years","Master's degree","Woman","Aerospace contracting","Project engineer"
"25-34",45000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Marketing Coordinator"
"35-44",88000,"11 - 20 years","College degree","Woman","Computing or Tech","Tech Writer"
"35-44",71000,"11 - 20 years","Master's degree","Woman","Nonprofits","Supervisory Archivist"
"45-54",71000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Program Manager"
"35-44",75000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","High School Teacher at an independent school"
"35-44",80000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Manager of Market Research and Data"
"35-44",125000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior Business Analyst"
"35-44",65000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Special Collections Cataloger"
"25-34",55000,"2 - 4 years","College degree","Woman","Nonprofits","Graphic Designer / Webmaster"
"25-34",90000,"11 - 20 years","College degree","Woman","Art & Design","Senior UX Designer"
"35-44",105000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Senior Engineer"
"35-44",65000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Digital Archivist"
"25-34",85000,"5-7 years","Master's degree","Woman","Business or Consulting","Associate Program Manager"
"25-34",39520,"8 - 10 years","College degree","Woman","Sales","CSR"
"25-34",76000,"8 - 10 years","College degree","Woman","Energy","Fuel Efficiency Program Analyst"
"55-64",180000,"31 - 40 years","Master's degree","Woman","Business or Consulting","Senior Vice President of Marketing"
"25-34",90000,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Accounting Manager"
"55-64",65000,"31 - 40 years","Master's degree","Woman","Business or Consulting","Senior Administrative Assistant and Project Specialist"
"45-54",98166,"21 - 30 years","College degree","Man","Computing or Tech","senior web application developer"
"25-34",63500,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","Director of Development"
"55-64",58,"21 - 30 years","Master's degree","Woman","Environmental regulation","Quality Assurance Lead"
"25-34",47700,"5-7 years","College degree","Woman","Nonprofits","Program & Administrative Assistant"
"55-64",87000,"31 - 40 years","College degree","Man","Computing or Tech","Chief Engineer"
"25-34",39635,"2 - 4 years","College degree","Woman","Education (Higher Education)","Administrative Support Assistant"
"25-34",53000,"8 - 10 years","College degree","Man","Government and Public Administration","Administrative Officer"
"45-54",47255,"31 - 40 years","College degree","Woman","Education (Primary/Secondary)","Executive Secretary/Secretary to Board of School Trustees"
"35-44",196000,"11 - 20 years","College degree","Man","Property or Construction","Senior Project Manager"
"45-54",34361,"21 - 30 years","College degree","Woman","Health care","Customer Service Representative"
"45-54",150000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Senior Device Engineer"
"25-34",75000,"5-7 years","College degree","Woman","Hospitality & Events","Graphic Designer"
"35-44",20000,"5-7 years","College degree","Woman","Education (Higher Education)","Graduate Student"
"25-34",107220,"8 - 10 years","Master's degree","Woman","Computing or Tech","Senior Financial Analyst"
"45-54",95000,"21 - 30 years","PhD","Man","Education (Higher Education)","Professor"
"45-54",42000,"21 - 30 years","Master's degree","Woman","Sales","Office Manager"
"25-34",1e+05,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Finance Manager"
"35-44",119000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Medical Education Director"
"25-34",75000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Associate Director of Donor Relations"
"35-44",145000,"2 - 4 years","PhD","Woman","Education (Higher Education)","Assistant Professor of Law"
"25-34",48000,"5-7 years","Master's degree","Woman","Marketing, Advertising & PR","Content Writer"
"45-54",75000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Assistant Director of Finance"
"35-44",42000,"11 - 20 years","College degree","Woman","Media & Digital","Digital Marketing Specialist"
"35-44",54000,"21 - 30 years","Master's degree","Woman","Nonprofits","Archivist"
"55-64",60000,"31 - 40 years","College degree","Woman","Medical Devices","QC Supervisor"
"55-64",101500,"31 - 40 years","College degree","Woman","Nonprofits","Content Development Manager"
"25-34",36883,"2 - 4 years","College degree","Woman","Academic research (Psychology)","Clinical Research Assistant II"
"25-34",85000,"11 - 20 years","College degree","Woman","Media & Digital","news editor"
"25-34",62000,"5-7 years","College degree","Woman","Education (Higher Education)","Senior Administrative Assistant"
"35-44",130000,"11 - 20 years","College degree","Man","Computing or Tech","Product Manager"
"55-64",55000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","career services professional"
"25-34",59015,"8 - 10 years","College degree","Woman","Government and Public Administration","Project Coordinator"
"25-34",71000,"5-7 years","College degree","Woman","Business or Consulting","Associate Manager, Education"
"45-54",53000,"21 - 30 years","Master's degree","Woman","Social Work","Director"
"25-34",63000,"5-7 years","Master's degree","Woman","public library","Senior Librarian"
"35-44",95000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Project Estimator"
"35-44",35000,"11 - 20 years","College degree","Woman","Nonprofits","Customer Advocate"
"35-44",56000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Accounts Payable Manager"
"35-44",85000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Associate Director"
